country,NV.AGR.TOTL.ZS,NV.IND.TOTL.ZS,NY.GNP.PCAP.CD,IT.NET.USER.ZS,SH.IMM.IDPT,SH.STA.MMRT,SH.XPD.CHEX.GD.ZS,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.DYN.TFRT.IN,IT.NET.SECR.P6,SP.URB.TOTL.IN.ZS,SL.EMP.VULN.ZS,SP.POP.DPND,SP.POP.GROW,EN.ATM.PM25.MC.M3,EN.GHG.ALL.PC.CE.AR5
Canada,1.114343627607454,19.4830082750909,10.921251253340916,94.14530182,92,2.4849066497880004,11.18692875,1.547562508716013,81.6263414634146,1.27,10.659646956990159,82.5250564408346,9.46796503398798,53.0518429925194,2.78237404482922,1.8795249531021663,2.936928750952701
Switzerland,0.7806360244151905,25.8710535844701,11.494354079384793,97.34436623,95,1.6094379124341003,11.69096088,1.2237754316221157,84.1560975609756,1.33,12.005312220367244,85.1854212679815,9.68043706798858,52.9575219043034,1.26498425447772,2.1186890221055377,1.5734920408125181
Chile,1.8414210607738553,28.9994589242547,9.678467241209058,94.45742345,96,2.302585092994046,10.17470455,1.7749523509116738,81.167,1.167,9.4173517684459,88.8158617217972,21.4932685385367,45.0908347497625,0.53962870957127,3.139973214200551,1.7822563690308941
China,2.624789403133265,36.7725030223561,9.528794103094718,90.6,96,2.772588722239781,5.94388866,1.4816045409242156,77.953,0.999,7.318785514429631,65.5301448035523,34.2291488221934,44.7297141014082,-0.103794531589067,3.4654725982965444,2.391039248928672
Cote d'Ivoire,3.993026151161635,23.9006374307143,7.828038032125829,40.65284979,79,5.883322388488279,3.43218303,3.832979798087693,61.944,4.283,4.150019168050571,53.4075201638704,70.107152568218,78.0774744464329,2.50384681190665,3.014913113573355,0.16424453333654873
Cameroon,4.1351707676166285,25.1308706019034,7.426549072397305,42.24380112,75,5.552959584921617,4.5545516,3.720862499966987,63.7,4.322,2.8366579496561277,55.1286878511388,68.0402482666017,80.2951604071451,2.64245336134821,4.018247815797461,0.3523626831831906
"Congo, Dem. Rep.",3.221396461090718,39.5009688150508,6.522092798170152,18.96789932,60,6.056784013228625,3.68495083,4.046553898385752,61.895,6.051,2.1780229840068115,44.3754734892194,82.0686837854649,96.6825341170883,3.25963514299902,3.578297055385996,-0.6148820734716137
"Congo, Rep.",2.9920086691562258,45.2236339577947,7.745002803515839,43.15039825,78,5.484796933490655,3.29744148,3.3214324131932926,65.772,4.157,2.9231471373452,63.6626757615625,76.1059854038104,77.9305853486992,2.41919038084212,3.5984171816803925,1.3734782378318642
Colombia,2.9657826851412885,24.7568044354839,8.81877816903701,77.33686322,90,4.07753744390572,8.15838146,2.379546134130174,77.725,1.645,7.011314671929485,78.275571579544,43.7977677955096,42.8026198463432,1.12092864340999,2.909990205453033,1.4154515937061156
Comoros,5.844237658959267,10.3295767510686,7.4205789054108005,31.92749977,75,5.187385805840755,6.55212021,3.58351893845611,66.777,3.878,2.934652461234827,33.1502180946901,57.0393345551953,72.0409311057792,1.92327433672711,2.3197133603694406,0.09688501297005232
Cabo Verde,2.2033697676604556,10.9776694022766,8.463792414689122,74.59919739,93,3.6888794541139363,5.84791613,2.3978952727983707,76.059,1.522,6.858043818535484,75.9064245753376,35.072656923975,49.1432552588223,0.497087597239901,3.005336566363153,0.5250237140606782
Costa Rica,1.9321657338613138,20.4903900780684,9.570110520822217,85.39514799,99,3.1780538303479458,6.8663702,2.174751721484161,80.799,1.33,7.579016584961082,78.8819393641702,23.7673101793058,45.0322532261748,0.46646444898736,2.8734506787838376,1.186682958412491
